Fuel,Price ($USD/kg),Energy (MJ/$USD),CO2 (kg/kg),Energy (MJ/kg)
Crude oil,2.446442133278316,0.7579033407794415,1.4366851656095843,1.8541666666666667
Natural gas,1.0583572972972972,1.909405583546323,1.1924198379140238,2.0208333333333335
Natural uranium,361.1446833092635,57.68694458623344,0.0,20833.333333333332
