Year,Sector,Energy
1994,Commercial,172.9
1995,Commercial,183.6
1996,Commercial,189.6
1997,Commercial,198.4
1998,Commercial,204.7
1999,Commercial,211.3
2000,Commercial,214.5
2001,Commercial,221.9
2002,Commercial,250.7
2003,Commercial,255.9
2004,Commercial,256.4
2005,Commercial,259.4
2006,Commercial,272.6
2007,Commercial,274.5
2008,Commercial,278.6
2009,Commercial,284.4
2010,Commercial,291.0
2011,Commercial,286.6
2012,Commercial,296.0
2013,Commercial,302.1
2014,Commercial,320.3
2015,Commercial,321.5
2016,Commercial,328.9
2017,Commercial,332.7
2018,Commercial,331.3
2019,Commercial,321.2
1974,Other,131.7
1975,Other,131.5
1976,Other,144.2
1977,Other,146.8
1978,Other,151.3
1979,Other,156.2
1980,Other,151.6
1981,Other,160.3
1982,Other,150.5
1983,Other,157.8
1984,Other,154.6
1985,Other,158.0
1986,Other,160.8
1987,Other,163.9
1988,Other,171.8
1989,Other,172.3
1990,Other,164.5
1991,Other,166.6
1992,Other,174.0
1993,Other,181.0
1994,Other,186.5
1995,Other,187.2
1996,Other,195.2
1997,Other,197.4
1998,Other,197.7
1999,Other,209.3
2000,Other,200.1
2001,Other,206.1
2002,Other,210.4
2003,Other,216.1
2004,Other,213.5
2005,Other,211.3
2006,Other,205.2
2007,Other,208.5
2008,Other,213.2
2009,Other,216.9
2010,Other,212.4
2011,Other,211.1
2012,Other,209.9
2013,Other,207.6
2014,Other,211.0
2015,Other,222.6
2016,Other,221.8
2017,Other,232.3
2018,Other,214.0
2019,Other,206.6
